"cluster_membership","lat_round","lon_round"
"11",41.275,-72.793
"11",41.275,-72.793
"11",41.275,-72.793
"9",41.314,-72.871
"7",41.314,-72.871
"9",41.314,-72.871
"9",41.314,-72.871
"7",41.314,-72.871
"9",41.314,-72.871
"11",41.266,-72.733
"11",41.266,-72.733
"11",41.266,-72.733
"18",41.491,-72.355
"11",41.491,-72.355
"11",41.491,-72.355
"10",41.573,-73.228
"10",41.573,-73.228
"10",41.573,-73.228
"1",41.946,-72.911
"1",41.946,-72.911
"1",41.946,-72.911
"18",41.418,-72.284
"12",41.418,-72.284
"11",41.418,-72.284
"11",41.263,-72.834
"7",41.263,-72.834
"11",41.263,-72.834
"7",41.263,-72.834
"11",41.29,-72.406
"11",41.29,-72.406
"11",41.29,-72.406
"5",41.627,-73.308
"2",41.717,-72.971
"2",41.717,-72.971
"2",41.717,-72.971
"2",41.715,-72.971
"2",41.715,-72.971
"2",41.715,-72.971
"5",41.722,-73.475
"5",41.722,-73.475
"5",41.722,-73.475
"5",41.722,-73.475
"5",41.722,-73.475
"5",41.722,-73.475
"18",41.872,-71.822
"18",41.872,-71.822
"18",41.872,-71.822
"8",41.759,-72.619
"8",41.759,-72.619
"8",41.759,-72.619
"8",41.759,-72.619
"8",41.759,-72.619
"8",41.759,-72.619
"14",41.759,-72.619
"8",41.759,-72.619
"8",41.812,-72.799
"2",41.812,-72.799
"2",41.812,-72.799
"8",41.812,-72.799
"2",41.812,-72.799
"2",41.812,-72.799
"5",41.584,-73.48
"5",41.584,-73.48
"5",41.584,-73.48
"1",41.945,-73.36
"1",41.945,-73.36
"1",41.945,-73.36
"7",41.254,-73.002
"9",41.409,-71.909
"9",41.409,-71.909
"3",41.054,-73.531
"3",41.054,-73.531
"13",41.7,-72.564
"13",41.7,-72.564
"13",41.7,-72.564
"10",41.649,-73.111
"10",41.649,-73.111
"10",41.649,-73.111
"5",41.33,-73.516
"5",41.33,-73.516
"5",41.33,-73.516
"5",41.599,-73.437
"5",41.599,-73.437
"5",41.599,-73.437
"5",41.599,-73.437
"5",41.599,-73.437
"5",41.599,-73.437
"7",41.283,-72.959
"7",41.283,-72.959
"7",41.283,-72.959
"7",41.283,-72.959
"7",41.283,-72.959
"7",41.283,-72.959
"10",41.433,-73.07
"10",41.433,-73.07
"10",41.433,-73.07
"10",41.433,-73.07
"10",41.433,-73.07
"10",41.433,-73.07
"5",41.512,-73.467
"5",41.512,-73.467
"5",41.512,-73.467
"17",41.317,-73.012
"17",41.317,-73.012
"17",41.317,-73.012
"7",41.31,-72.943
"7",41.31,-72.943
"7",41.31,-72.943
"7",41.31,-72.943
"7",41.31,-72.943
"7",41.31,-72.943
"9",41.341,-72.994
"9",41.341,-72.994
"17",41.341,-72.994
"16",41.421,-72.849
"16",41.421,-72.849
"16",41.421,-72.849
"16",41.421,-72.849
"16",41.421,-72.849
"16",41.421,-72.849
"9",41.345,-72.971
"9",41.345,-72.971
"9",41.345,-72.971
"9",41.345,-72.971
"9",41.345,-72.971
"9",41.345,-72.971
"11",41.293,-72.763
"11",41.293,-72.763
"11",41.293,-72.763
"9",41.317,-72.82
"11",41.317,-72.82
"9",41.317,-72.82
"9",41.317,-72.82
"11",41.317,-72.82
"9",41.317,-72.82
"11",41.429,-72.604
"11",41.429,-72.604
"13",41.429,-72.604
"11",41.289,-72.658
"11",41.289,-72.658
"11",41.289,-72.658
"11",41.289,-72.658
"11",41.289,-72.658
"11",41.289,-72.658
"13",41.419,-72.712
"13",41.419,-72.712
"16",41.419,-72.712
"11",41.31,-72.398
"11",41.31,-72.398
"11",41.31,-72.398
"11",41.31,-72.398
"11",41.31,-72.398
"11",41.31,-72.398
"7",41.286,-72.882
"7",41.286,-72.882
"7",41.286,-72.882
"7",41.286,-72.882
"7",41.286,-72.882
"7",41.286,-72.882
"7",41.271,-72.885
"7",41.271,-72.885
"7",41.271,-72.885
"12",41.367,-72.242
"12",41.367,-72.242
"12",41.367,-72.242
"12",41.329,-72.125
"12",41.329,-72.125
"12",41.329,-72.125
"12",41.329,-72.125
"11",41.289,-72.538
"11",41.289,-72.538
"11",41.289,-72.538
"11",41.289,-72.539
"11",41.289,-72.539
"11",41.289,-72.539
"18",41.623,-71.942
"18",41.623,-71.942
"18",41.623,-71.942
"18",41.578,-72.104
"18",41.578,-72.104
"18",41.578,-72.104
"12",41.46,-71.927
"12",41.46,-71.927
"18",41.46,-71.927
"18",41.534,-72.135
"18",41.534,-72.135
"18",41.534,-72.135
"19",41.574,-72.2
"18",41.574,-72.2
"18",41.574,-72.2
"11",41.33,-72.722
"11",41.33,-72.722
"11",41.33,-72.722
"13",41.472,-72.555
"11",41.472,-72.555
"11",41.472,-72.555
"18",41.586,-72.379
"18",41.586,-72.379
"18",41.586,-72.379
"11",41.357,-72.639
"11",41.357,-72.639
"11",41.357,-72.639
"7",41.309,-72.922
"7",41.309,-72.922
"7",41.309,-72.922
"9",41.379,-72.918
"9",41.379,-72.918
"9",41.379,-72.918
"9",41.379,-72.918
"9",41.379,-72.918
"9",41.379,-72.918
"20",41.487,-72.929
"20",41.487,-72.929
"20",41.487,-72.929
"20",41.487,-72.929
"20",41.487,-72.929
"20",41.487,-72.929
"7",41.296,-72.898
"7",41.296,-72.898
"7",41.296,-72.898
"7",41.296,-72.898
"7",41.296,-72.898
"7",41.296,-72.898
"20",41.537,-72.893
"20",41.537,-72.893
"20",41.537,-72.893
"9",41.407,-72.904
"9",41.407,-72.904
"9",41.407,-72.904
"9",41.37,-72.931
"9",41.37,-72.931
"9",41.37,-72.931
"9",41.37,-72.931
"9",41.37,-72.931
"9",41.37,-72.931
"9",41.418,-72.889
"9",41.418,-72.889
"9",41.418,-72.889
"9",41.42,-72.89
"9",41.42,-72.89
"9",41.42,-72.89
"11",41.32,-72.352
"11",41.32,-72.352
"11",41.32,-72.352
"6",41.238,-73.122
"6",41.238,-73.122
"6",41.238,-73.122
"17",41.273,-73.118
"17",41.273,-73.118
"17",41.273,-73.118
"17",41.273,-73.118
"17",41.273,-73.118
"17",41.273,-73.118
"11",41.369,-72.564
"11",41.369,-72.564
"11",41.369,-72.564
"18",41.569,-72.304
"18",41.569,-72.304
"18",41.569,-72.304
"11",41.292,-72.43
"11",41.292,-72.43
"11",41.292,-72.43
"18",41.453,-72.154
"12",41.453,-72.154
"18",41.453,-72.154
"18",41.675,-71.879
"18",41.675,-71.879
"18",41.675,-71.879
"11",41.461,-72.395
"11",41.461,-72.395
"11",41.461,-72.395
"12",41.383,-71.902
"12",41.383,-71.902
"12",41.383,-71.902
"10",41.518,-73.019
"10",41.518,-73.019
"10",41.518,-73.019
"10",41.518,-73.018
"10",41.518,-73.018
"10",41.518,-73.018
"11",41.338,-72.557
"11",41.338,-72.557
"11",41.338,-72.557
"18",41.591,-72.017
"18",41.591,-72.017
"18",41.591,-72.017
"18",41.746,-71.88
"18",41.746,-71.88
"18",41.746,-71.88
"7",41.258,-72.951
"7",41.258,-72.951
"7",41.258,-72.951
"7",41.258,-72.951
"7",41.258,-72.951
"7",41.258,-72.951
"7",41.295,-72.973
"7",41.295,-72.973
"7",41.295,-72.973
"7",41.295,-72.973
"7",41.295,-72.973
"7",41.295,-72.973
"11",41.264,-72.695
"11",41.264,-72.695
"11",41.264,-72.695
"10",41.522,-73.221
"5",41.522,-73.221
"5",41.522,-73.221
"5",41.465,-73.497
"5",41.465,-73.497
