cluster_membership,lat_round,lon_round,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
1,41.922,-73.049,7,6,0,12,17,9,9,17,2,19,19,16,4,10,10,5
15,41.669,-72.783,1,10,14,2,18,18,17,12,9,10,17,10,8,3,1,18
15,41.669,-72.783,1,10,14,2,18,2,2,17,6,13,7,1,0,0,6,18
15,41.669,-72.783,1,0,4,0,3,8,16,8,9,10,6,1,0,0,17,18
15,41.669,-72.783,1,3,1,18,18,18,17,12,14,17,17,1,15,11,6,18
15,41.669,-72.783,1,3,14,2,18,14,9,3,2,19,19,7,9,14,4,18
15,41.669,-72.783,1,10,14,18,18,6,0,8,9,10,0,10,8,3,1,18
18,41.63,-72.466,11,0,4,16,18,6,2,0,10,1,6,1,0,0,17,14
18,41.63,-72.466,11,0,4,16,1,15,2,8,9,10,17,1,8,0,6,14
18,41.63,-72.466,11,0,14,18,1,6,0,4,9,10,11,6,12,11,18,14
13,41.706,-72.663,1,10,14,18,1,6,17,17,6,1,7,18,0,0,6,4
13,41.706,-72.663,1,10,14,16,1,6,2,8,9,1,6,1,0,0,6,4
13,41.706,-72.663,1,10,14,16,1,6,0,12,14,17,0,10,8,1,10,4
8,41.753,-72.744,1,10,14,2,4,6,17,17,10,1,7,1,0,0,6,10
8,41.753,-72.744,1,0,16,9,7,15,2,8,6,1,6,18,0,0,6,10
8,41.753,-72.744,1,10,14,2,18,14,17,3,2,19,19,16,4,10,10,10
19,41.814,-72.26,18,13,17,6,7,7,13,2,10,13,7,18,9,14,6,8
19,41.814,-72.26,18,13,17,6,14,11,3,16,3,16,16,5,3,9,2,8
19,41.814,-72.26,18,13,17,6,7,7,13,0,0,1,6,15,11,17,17,8
19,41.814,-72.26,18,13,17,6,7,2,10,17,6,15,13,7,9,14,4,8
19,41.814,-72.259,18,13,17,6,7,15,2,2,0,1,6,15,11,17,17,8
19,41.814,-72.259,18,13,17,6,7,7,13,0,10,1,7,15,0,0,6,8
10,41.514,-73.124,3,2,11,4,8,1,19,18,11,4,10,2,13,1,11,12
10,41.514,-73.124,3,2,11,4,6,1,19,6,11,12,8,2,13,1,11,12
10,41.514,-73.124,3,2,13,10,6,4,0,4,18,18,3,17,15,11,18,12
14,41.949,-72.492,10,16,16,9,4,14,10,17,6,15,13,7,9,14,10,8
14,41.949,-72.492,10,16,17,9,7,7,13,2,10,13,7,18,14,18,14,8
14,41.949,-72.492,10,16,16,9,7,7,10,2,10,16,7,18,9,18,14,8
14,41.794,-72.555,11,16,16,16,4,14,17,17,6,13,13,7,9,14,4,4
14,41.794,-72.555,11,0,14,2,1,6,2,8,0,1,6,15,11,17,17,4
14,41.794,-72.555,11,16,16,9,1,15,2,0,3,16,16,5,11,17,17,4
14,41.794,-72.555,11,16,17,6,7,2,2,2,10,13,7,7,9,14,4,4
14,41.794,-72.555,11,0,4,16,1,2,17,17,9,13,7,18,0,18,14,4
14,41.794,-72.555,11,0,4,16,1,6,2,8,9,1,17,1,0,0,6,4
14,41.853,-72.452,11,16,4,9,4,2,10,17,6,15,13,7,9,14,4,8
